episode,step,player_y,player_vel,cpu_y,ball_x,ball_y,ball_vel_x,ball_vel_y,reward,action
0,0,24.0144,0.014400000000000001,24.08,32.32,24.063843855983865,9.600000000000001,1.9153156795159303,0.0,1
0,1,24.027359999999998,0.012960000000000001,24.159999999999997,32.64,24.12768771196773,9.600000000000001,1.9153156795159303,0.0,2
0,2,24.039023999999998,0.011664,24.239999999999995,32.96,24.191531567951596,9.600000000000001,1.9153156795159303,0.0,2
0,3,24.0495216,0.010497600000000001,24.319999999999993,33.28,24.25537542393546,9.600000000000001,1.9153156795159303,0.0,2
0,4,24.04456944,-0.00495216,24.239999999999995,33.6,24.319219279919327,9.600000000000001,1.9153156795159303,0.0,0
0,5,24.040112496,-0.004456944,24.319999999999993,33.92,24.383063135903193,9.600000000000001,1.9153156795159303,0.0,2
0,6,24.0505012464,0.0103887504,24.39999999999999,34.24,24.446906991887058,9.600000000000001,1.9153156795159303,0.0,1
0,7,24.04545112176,-0.00505012464,24.47999999999999,34.56,24.510750847870924,9.600000000000001,1.9153156795159303,0.0,0
0,8,24.040906009584,-0.004545112176,24.559999999999988,34.88,24.57459470385479,9.600000000000001,1.9153156795159303,0.0,2
0,9,24.022415408625598,-0.0184906009584,24.639999999999986,35.2,24.638438559838654,9.600000000000001,1.9153156795159303,0.0,0
0,10,23.991373867763038,-0.031041540862560002,24.719999999999985,35.52,24.70228241582252,9.600000000000001,1.9153156795159303,0.0,0
0,11,23.949036480986734,-0.042337386776304005,24.799999999999983,35.84,24.766126271806385,9.600000000000001,1.9153156795159303,0.0,0
0,12,23.92533283288806,-0.023703648098673605,24.87999999999998,36.160000000000004,24.82997012779025,9.600000000000001,1.9153156795159303,0.0,1
0,13,23.889599549599254,-0.03573328328880625,24.95999999999998,36.480000000000004,24.893813983774116,9.600000000000001,1.9153156795159303,0.0,0
0,14,23.87183959463933,-0.017759954959925623,24.87999999999998,36.800000000000004,24.95765783975798,9.600000000000001,1.9153156795159303,0.0,1
0,15,23.870255635175397,-0.0015839594639330604,24.95999999999998,37.120000000000005,25.021501695741847,9.600000000000001,1.9153156795159303,0.0,1
0,16,23.854430071657855,-0.015825563517539755,25.039999999999978,37.440000000000005,25.085345551725712,9.600000000000001,1.9153156795159303,0.0,0
0,17,23.85458706449207,0.00015699283421422087,25.119999999999976,37.760000000000005,25.149189407709578,9.600000000000001,1.9153156795159303,0.0,1
0,18,23.84032835804286,-0.014258706449207202,25.199999999999974,38.080000000000005,25.213033263693443,9.600000000000001,1.9153156795159303,0.0,0
0,19,23.841895522238573,0.0015671641957135183,25.279999999999973,38.400000000000006,25.27687711967731,9.600000000000001,1.9153156795159303,0.0,1
0,20,23.857705970014717,0.015810447776142166,25.35999999999997,38.720000000000006,25.340720975661174,9.600000000000001,1.9153156795159303,0.0,1
0,21,23.886335373013246,0.028629402998527953,25.43999999999997,39.040000000000006,25.40456483164504,9.600000000000001,1.9153156795159303,0.0,1
0,22,23.912101835711923,0.02576646269867516,25.519999999999968,39.36000000000001,25.468408687628905,9.600000000000001,1.9153156795159303,0.0,2
0,23,23.92089165214073,0.008789816428807645,25.599999999999966,39.68000000000001,25.53225254361277,9.600000000000001,1.9153156795159303,0.0,0
0,24,23.92880248692666,0.007910834785926881,25.519999999999968,40.00000000000001,25.596096399596636,9.600000000000001,1.9153156795159303,0.0,2
0,25,23.935922238233996,0.007119751307334193,25.599999999999966,40.32000000000001,25.6599402555805,9.600000000000001,1.9153156795159303,0.0,2
0,26,23.942330014410597,0.006407776176600774,25.679999999999964,40.64000000000001,25.723784111564367,9.600000000000001,1.9153156795159303,0.0,2
0,27,23.96249701296954,0.020166998558940698,25.759999999999962,40.96000000000001,25.787627967548232,9.600000000000001,1.9153156795159303,0.0,1
0,28,23.966247311672586,0.003750298703046628,25.83999999999996,41.28000000000001,25.851471823532098,9.600000000000001,1.9153156795159303,0.0,0
0,29,23.98402258050533,0.017775268832741966,25.91999999999996,41.60000000000001,25.915315679515963,9.600000000000001,1.9153156795159303,0.0,1
0,30,24.000020322454798,0.01599774194946777,25.999999999999957,41.92000000000001,25.97915953549983,9.600000000000001,1.9153156795159303,0.0,2
0,31,24.01441829020932,0.014397967754520994,26.079999999999956,42.24000000000001,26.043003391483694,9.600000000000001,1.9153156795159303,0.0,2
0,32,24.02737646118839,0.012958170979068895,26.159999999999954,42.56000000000001,26.10684724746756,9.600000000000001,1.9153156795159303,0.0,2
0,33,24.02463881506955,-0.002737646118837995,26.239999999999952,42.88000000000001,26.170691103451425,9.600000000000001,1.9153156795159303,0.0,0
0,34,24.022174933562596,-0.0024638815069541954,26.159999999999954,43.20000000000001,26.23453495943529,9.600000000000001,1.9153156795159303,0.0,2
0,35,24.019957440206337,-0.002217493356258776,26.239999999999952,43.52000000000001,26.298378815419156,9.600000000000001,1.9153156795159303,0.0,2
0,36,24.032361696185703,0.0124042559793671,26.31999999999995,43.84000000000001,26.36222267140302,9.600000000000001,1.9153156795159303,0.0,1
0,37,24.057925526567132,0.02556383038143039,26.39999999999995,44.16000000000001,26.426066527386887,9.600000000000001,1.9153156795159303,0.0,1
0,38,24.09533297391042,0.03740744734328735,26.479999999999947,44.48000000000001,26.489910383370752,9.600000000000001,1.9153156795159303,0.0,1
0,39,24.14339967651938,0.04806670260895862,26.559999999999945,44.80000000000001,26.553754239354618,9.600000000000001,1.9153156795159303,0.0,1
0,40,24.172259708867443,0.02886003234806276,26.639999999999944,45.12000000000001,26.617598095338483,9.600000000000001,1.9153156795159303,0.0,0
